Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL
0061456A;Collège du Mont Saint-Jean;Collège;Privé;Avenue du Châtaignier;;06600 ANTIBES;6600;6004;Antibes;6;23;93;;;0;0;0;04 97 21 29 90;;www.msjantibes.fr;direction@msjantibes.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;78247149400032;363;http://geolocalisation.onisep.fr/moncollege/06-alpes-maritimes/antibes/college/college-du-mont-saint-jean.html;43.5811104209,7.11131188462;CONTRAT D'ASSOCIATION TOUTES CLASSES;Alpes-Maritimes;Nice;Provence-Alpes-Côte d'Azur;1032026,3;6284429,1;EPSG:2154;;43,5811104208878;7,11131188461945;Numéro de rue;1980-09-01;2019-12-02;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;30;
0541573S;Collège Jacques Callot;Collège;Public;Rue JACQUES CALLOT;;54230 NEUVES MAISONS;54230;54397;Neuves-Maisons;54;12;44;;;0;0;0;383473613;03 83 47 31 27;www4.ac-nancy-metz.fr/clg-callot-neuves-maisons;ce.0541573S@ac-nancy-metz.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;;1;19541573200013;672;http://geolocalisation.onisep.fr/moncollege/54-meurthe-et-moselle/neuves-maisons/college/college-jacques-callot.html;48.6215565786,6.11259276837;SANS OBJET;Meurthe-et-Moselle;Nancy-Metz;Grand Est;929353,3;6840228,3;EPSG:2154;;48,6215565786087;6,11259276837318;Numéro de rue;1970-02-24;2019-12-02;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;
0541844L;Ecole primaire Jean Rostand;Ecole;Public;32 rue Joliot Curie;;54850 MESSEIN;54850;54366;Messein;54;12;44;1;1;;;;383471505;;;ce.0541844L@ac-nancy-metz.fr;0;0;0;;;;;;;;;;;;;;;21540366800035;186;;48.6115022262,6.14736900908;SANS OBJET;Meurthe-et-Moselle;Nancy-Metz;Grand Est;931959;6839213;EPSG:2154;Circonscription d'inspection du 1er degré de Villers;48,611502226172;6,14736900907894;Numéro de rue;1974-05-15;2019-12-02;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0541573S
0540194T;Ecole primaire;Ecole;Public;1 PLACE DU GENERAL HELLE;;54122 AZERAILLES;54122;54038;Azerailles;54;12;44;1;1;;;;383751865;;;ce.0540194T@ac-nancy-metz.fr;1;0;0;;;;;;;;;;;;;;;21540038300026;127;;48.4881508055,6.69517078234;SANS OBJET;Meurthe-et-Moselle;Nancy-Metz;Grand Est;972945,8;6827264,7;EPSG:2154;Circonscription d'inspection du 1er degré de Blainville;48,4881508055049;6,69517078234494;Numéro de rue;1965-07-15;2019-12-02;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0540001H
0541745D;Ecole primaire;Ecole;Public;56 rue du Général Leclerc;;54120 BERTRICHAMPS;54120;54065;Bertrichamps;54;12;44;1;1;;;;383754239;;;ce.0541745D@ac-nancy-metz.fr;1;0;0;;;;;;;;;;;;;;;21540065600041;90;;48.4298842586,6.79248953915;SANS OBJET;Meurthe-et-Moselle;Nancy-Metz;Grand Est;980439,8;6821136,2;EPSG:2154;Circonscription d'inspection du 1er degré de Blainville;48,4298842586478;6,79248953915499;Numéro de rue;1972-06-14;2019-12-02;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0540001H
0542209H;Ecole élémentaire Jeanne d'Arc;Ecole;Public;9 allée de Fribourg;;54500 VANDOEUVRE LES NANCY;54500;54547;Vandoeuvre-lès-Nancy;54;12;44;0;1;;;;383550240;;;ce.0542209H@ac-nancy-metz.fr;1;0;0;;;;;;;;;;;;;REP;;21540547300145;231;;48.6588593909,6.17599935586;SANS OBJET;Meurthe-et-Moselle;Nancy-Metz;Grand Est;933856,2;6844558,1;EPSG:2154;Circonscription d'inspection du 1er degré de Vandoeuvre;48,6588593909075;6,17599935585653;Numéro de rue;1989-09-01;2019-12-02;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;
0430025U;Collège La Fayette;Collège;Public;1 rue GENERAL LA FAYETTE;BP 10011;43001 LE PUY EN VELAY CEDEX;43001;43157;Le Puy-en-Velay;43;6;84;;;0;0;0;471029910;04 71 02 23 76;;ce.0430025U@ac-clermont.fr;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;19430025700012;407;http://geolocalisation.onisep.fr/moncollege/43-haute-loire/le-puy-en-velay/college/college-lafayette.html;45.0435809604,3.88606259429;SANS OBJET;Haute-Loire;Clermont-Ferrand;Auvergne-Rhône-Alpes;769765,4;6438650,7;EPSG:2154;;45,0435809604426;3,88606259429491;Numéro de rue;1965-05-01;2019-12-02;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0430024T
0430797H;Ecole élémentaire privée Sainte Thérèse;Ecole;Privé;Impasse Sainte-Thérèse;;43800 VOREY;43800;43267;Vorey;43;6;84;1;1;;;;471034107;;;ce.0430797H@ac-clermont.fr;1;0;0;;;;;;;;;;;;;;;77916292400012;51;;45.1883949263,3.91096248897;CONTRAT D'ASSOCIATION TOUTES CLASSES;Haute-Loire;Clermont-Ferrand;Auvergne-Rhône-Alpes;771540,3;6454755,2;EPSG:2154;Circonscription d'inspection du 1er degré du Puy - Yssingeaux;45,1883949263022;3,91096248896896;Rue;1971-03-10;2019-12-02;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;
0421885W;Ecole primaire privée Les Maristes-site Notre-Dame;Ecole;Privé;10 place DE L'ABBAYE;;42000 ST ETIENNE;42000;42218;Saint-Etienne;42;10;84;1;1;;;;477818600;;;ce.0421885W@ac-lyon.fr;0;0;0;;;;;;;;;;;;;;;77639506300055;261;;45.4209639701,4.39844262907;CONTRAT D'ASSOCIATION TOUTES CLASSES;Loire;Lyon;Auvergne-Rhône-Alpes;809362,7;6481139,4;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Etienne Ouest;45,4209639700577;4,39844262907395;Numéro de rue;1983-09-08;2019-12-02;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;
0421885W;Ecole primaire privée Les Maristes-site Notre-Dame;Ecole;Privé;10 place DE L'ABBAYE;;42000 ST ETIENNE;42000;42218;Saint-Etienne;42;10;84;1;1;;;;477818600;;;ce.0421885W@ac-lyon.fr;0;0;0;;;;;;;;;;;;;;;77639506300055;261;;45.4209639701,4.39844262907;CONTRAT D'ASSOCIATION TOUTES CLASSES;Loire;Lyon;Auvergne-Rhône-Alpes;809362,7;6481139,4;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Etienne Ouest;45,4209639700577;4,39844262907395;Numéro de rue;1983-09-08;2019-12-02;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;
